"Section","key","English (reference — do not edit)","Khmer (edit here)","Chinese (edit here)","Notes for Claude"
"About — index","about.section.community.title","Roomchang in the Community","សហគមន៍ និងសប្បុរសធម៌","Roomchang 回馈社区",""
"About — index","about.section.directorMessage.description","A personal message from Dr. Tith Hong Yoeu, DDS, MSc. — Founder & Director — on Roomchang's commitment to quality care.","សារផ្ទាល់ខ្លួនពី ទន្តបណ្ឌិត ទិត ហុងយឺ — ស្ថាបនិក និងនាយកគ្រប់គ្រង — អំពីការប្ដេជ្ញាចិត្តរបស់ Roomchang ចំពោះការថែទាំនិងព្យាបាលមាត់ធ្មេញប្រកបដោយគុណភាព។","Roomchang创始人兼院长Tith Hong Yoeu博士（DDS, MSc.）关于Roomchang对优质医疗承诺的个人寄语。",""
"About — index","about.section.directorMessage.title","Message from Our Director","សារពីនាយកមន្ទីរពេទ្យ","院长寄语",""
"About — index","about.section.doctors.description","Meet the specialist team — multilingual experts in implants, orthodontics, cosmetic dentistry, paediatrics, and more.","ជួបជាមួយទន្តបណ្ឌិតឯកទេស — អ្នកជំនាញពហុភាសាក្នុងការដាំបង្គោលធ្មេញ ពត់តម្រង់ធ្មេញ កែសម្ភស្សធ្មេញ ពេទ្យធ្មេញកុមារ និងទន្តបណ្ឌិតឯកទេសច្រើនទៀត។","认识我们的专科团队——精通种植、正畸、美容牙科、儿童牙科等领域的多语言专家。",""
"About — index","about.section.doctors.title","Our Doctors","ទន្តបណ្ឌិតរបស់យើងខ្ញុំ","医生团队",""
"About — index","about.section.facilities.description","A purpose-built, 10-storey dental hospital with 46 dental chairs, 9 operation rooms, an in-house CAD/CAM lab, and hospital-grade sterilisation.","មន្ទីរពេទ្យទន្តសាស្ត្រកម្ពស់ ១០ ជាន់ សាងសង់ជាពិសេស ជាមួយកៅអីព្យាបាលធ្មេញ ៤៦ បន្ទប់វះកាត់ ៤ មន្ទីរពិសោធន៍ផលិតគ្រាប់ធ្មេញ ឌីជីថល CAD/CAM ក្នុងមន្ទីរពេទ្យ និងប្រព័ន្ធសម្លាប់មេរោគស្តង់ដារមន្ទីរពេទ្យ។","专门建造的10层牙科医院，配备46台牙椅、9间手术室、院内CAD/CAM实验室和医院级消毒系统。",""
"About — index","about.section.facilities.title","Our Facilities","អគារនិងគ្រឿងបរិក្ខារ","医院设施",""
"About — index","about.section.learnMore","Learn more","ស្វែងយល់បន្ថែម","了解更多",""
"About — index","about.section.partnerships.description","Trusted by 50+ banks, schools, insurers, and organisations to deliver dental benefits for employees and members.","ទទួលបានការជឿទុកចិត្តពីស្ថានទូត ធនាគារ សាលារៀន ក្រុមហ៊ុនធានារ៉ាប់រង និងស្ថាប័នអន្តរជាតិជាង ៥០ ដើម្បីផ្ដល់អត្ថប្រយោជន៍ទន្តសាស្ត្រដល់បុគ្គលិក និងសមាជិក។","受到50多家银行、学校、保险公司和机构的信赖，为员工和会员提供牙科福利。",""
"About — index","about.section.partnerships.title","Corporate Partnerships","ដៃគូសហការ","企业合作",""
"About — index","about.section.technology.description","CAD/CAM technology, digital intraoral scanning, Invisalign, Ortho-Tain®, ResMed ApneaLink Air™, Beyond® whitening, ICON®, and the Clear Aligner (CA) system.","បច្ចេកវិទ្យា CAD/CAM ស្កេនក្នុងមាត់ឌីជីថល Invisalign ធ្វើធ្មេញឱ្យស Beyond® និងពត់តម្រង់ធ្មេញដោយប្រើជ័រថ្លា Clear Aligner (CA)។","CAD/CAM技术、数字口内扫描、Invisalign隐适美、Ortho-Tain®早期矫治、ResMed ApneaLink Air™睡眠诊断、Beyond®冷光美白、ICON®微创釉质修复以及Clear Aligner (CA) 系统。",""
"About — index","about.section.technology.title","Technology","បច្ចេកវិទ្យា","医疗技术",""
"About — index","about.section.visionMission.description","Enriching lives with quality dentistry — guided by professionalism, honesty, teamwork, innovation, and excellence.","បង្កើនគុណភាពជីវិតជាមួយពេទ្យធ្មេញប្រកបដោយគុណភាព — ក្រមសីលធម៌វិជ្ជាជីវៈ ភាពស្មោះត្រង់ ការងារជាក្រុម ភាពច្នៃប្រឌិត និងភាពល្អឥតខ្ចោះ។","以优质牙科医疗丰富生活——以专业精神、诚信、团队合作、创新和卓越为指导。",""
"About — index","about.section.visionMission.title","Vision, Mission & Values","ចក្ខុវិស័យ បេសកកម្ម និងគុណតម្លៃ","愿景、使命与价值观",""
"About — index","about.stat.branches","Phnom Penh Branches","សាខានៅភ្នំពេញ","金边分院",""
"About — index","about.stat.dentalChairs","Dental Chairs across 5 branches","កៅអីព្យាបាលធ្មេញក្នុងសាខាទាំង ៥","五家分院牙椅总数",""
"About — index","about.stat.specialistDentists","Specialist Dentists","ទន្តបណ្ឌិតឯកទេស","专科医生",""
"About — index","about.stat.yearEstablished","Year Established","ឆ្នាំបង្កើត","创立年份",""
"About — partnerships","partnerships.backLink","About","អំពីយើង","关于我们",""
"About — partnerships","partnerships.categories.associations","Professional Associations","សមាគមវិជ្ជាជីវៈ","专业协会",""
"About — partnerships","partnerships.categories.banks","Banks & Financial Institutions","ធនាគារ និងស្ថាប័នហិរញ្ញវត្ថុ","银行与金融机构",""
"About — partnerships","partnerships.categories.healthcare","Healthcare","សុខាភិបាល","医疗保健",""
"About — partnerships","partnerships.categories.hotels","Hotels & Hospitality","សណ្ឋាគារ និងបដិសណ្ឋារកិច្ច","酒店与款待业",""
"About — partnerships","partnerships.categories.insurance","Insurance","ធានារ៉ាប់រង","保险",""
"About — partnerships","partnerships.categories.other","Other","ផ្សេងៗ","其他",""
"About — partnerships","partnerships.categories.realEstate","Real Estate & Development","អចលនទ្រព្យ និងការអភិវឌ្ឍ","房地产与开发",""
